id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,field21,eva_hrs_mission,total_eva_hrs
775,320,80,"Kondakova, Yelena V.",Елена Владимировна Кондакова,female,1957,U.S.S.R/Russia,civilian,NPOE-9,1989,1,2,flight engineer,1994,17,Soyuz TM­20,Mir,Soyuz TM­20,4061,0,0,0
776,320,80,"Kondakova, Yelena V.",Елена Владимировна Кондакова,female,1957,U.S.S.R/Russia,civilian,NPOE-9,1989,2,2,MSP,1997,23,STS­84,STS­84,STS­84,221,0,0,0
777,321,204,"Tanner, Joseph R.","Tanner, Joseph R.",male,1950,U.S.,civilian,1992 NASA group,1992,1,4,MSP,1994,STS-66,STS-66,STS-66,STS-66,262,0,0,46.48
778,321,204,"Tanner, Joseph R.","Tanner, Joseph R.",male,1950,U.S.,civilian,1992 NASA group,1992,2,4,MSP,1997,STS-82,STS-82,STS-82,STS-82,239,2,14.02,46.48
779,321,204,"Tanner, Joseph R.","Tanner, Joseph R.",male,1950,U.S.,civilian,1992 NASA group,1992,3,4,MSP,2000,STS-97,STS-97,STS-97,STS-97,259,3,19.33,46.48
780,321,204,"Tanner, Joseph R.","Tanner, Joseph R.",male,1950,U.S.,civilian,1992 NASA group,1992,4,4,MSP,2006,STS-115,STS-115,STS-115,STS-115,283,2,13.13,46.48
781,322,5,"Clervoy, Jean-François","Clervoy, Jean-François",male,1958,France,military,CNES-2/ESA-2/EAC,1985,1,3,MSP,1994,STS-66,STS-66,STS-66,STS-66,263,0,0,0
782,322,5,"Clervoy, Jean-François","Clervoy, Jean-François",male,1958,France,military,CNES-2/ESA-2/EAC,1985,2,3,MSP,1997,STS-84,STS-84,STS-84,STS-84,221.1,0,0,0
783,322,5,"Clervoy, Jean-François","Clervoy, Jean-François",male,1958,France,military,CNES-2/ESA-2/EAC,1985,3,3,MSP,1999,STS-103,STS-103,STS-103,STS-103,191,0,0,0
784,323,205,"Parazynski, Scott E.","Parazynski, Scott E.",male,1961,U.S.,civilian,NASA-14,1992,1,5,MSP,1994,STS-66,STS-66,STS-66,STS-66,262,0,0,47.08
785,323,205,"Parazynski, Scott E.","Parazynski, Scott E.",male,1961,U.S.,civilian,NASA-14,1992,2,5,MSP,1997,STS-86,STS-86,STS-86,STS-86,259,1,5.017,47.08
786,323,205,"Parazynski, Scott E.","Parazynski, Scott E.",male,1961,U.S.,civilian,NASA-14,1992,3,5,MSP,1998,STS-95,STS-95,STS-95,STS-95,213,0,0,47.08
787,323,205,"Parazynski, Scott E.","Parazynski, Scott E.",male,1961,U.S.,civilian,NASA-14,1992,4,5,MSP,2001,STS-100,STS-100,STS-100,STS-100,283,2,14.83,47.08
788,323,205,"Parazynski, Scott E.","Parazynski, Scott E.",male,1961,U.S.,civilian,NASA-14,1992,5,5,MSP,2007,STS-120,STS-120,STS-120,STS-120,362,4,27.23,47.08
